"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","7.330","7.350","7.690","7.170","4.56M","2.66%"
"12/02/2024","7.140","7.090","7.140","6.940","3.92M","0.71%"
"11/29/2024","7.090","7.250","7.320","7.050","1.86M","-1.53%"
"11/27/2024","7.200","7.250","7.360","7.050","2.72M","0.42%"
"11/26/2024","7.170","6.930","7.250","6.824","3.72M","1.41%"
"11/25/2024","7.070","7.000","7.140","6.904","7.43M","3.51%"
"11/22/2024","6.830","6.790","6.940","6.620","5.19M","1.49%"
"11/21/2024","6.730","6.440","6.800","6.320","3.61M","4.50%"
"11/20/2024","6.440","6.260","6.450","6.150","3.37M","2.22%"
"11/19/2024","6.300","6.130","6.300","6.070","3.46M","1.78%"
"11/18/2024","6.190","6.320","6.320","6.090","2.88M","-2.06%"
"11/15/2024","6.320","6.600","6.600","6.310","2.81M","-4.24%"
"11/14/2024","6.600","6.720","6.980","6.560","4.96M","-1.49%"
"11/13/2024","6.700","6.800","6.870","6.580","3.49M","0.00%"
"11/12/2024","6.700","6.760","6.780","6.620","3.26M","-1.47%"
"11/11/2024","6.800","6.750","6.930","6.590","4.16M","1.49%"
"11/08/2024","6.700","6.810","6.845","6.620","3.16M","-2.90%"
"11/07/2024","6.900","6.550","6.945","6.510","5.97M","6.81%"
"11/06/2024","6.460","7.010","7.010","6.210","8.40M","-5.97%"
"11/05/2024","6.870","6.660","6.920","6.650","4.55M","3.15%"
"11/04/2024","6.660","6.410","6.915","6.405","6.90M","3.90%"
"11/01/2024","6.410","6.430","6.650","6.230","9.33M","0.94%"
"10/31/2024","6.350","5.950","6.410","5.680","8.04M","14.21%"
"10/30/2024","5.560","5.390","5.600","5.390","5.84M","2.96%"
"10/29/2024","5.400","5.560","5.580","5.370","6.42M","-4.42%"
"10/28/2024","5.650","5.680","5.820","5.585","3.26M","0.18%"
"10/25/2024","5.640","5.710","5.760","5.610","3.39M","-0.35%"
"10/24/2024","5.660","5.640","5.780","5.500","3.44M","1.62%"
"10/23/2024","5.570","5.650","5.720","5.350","4.47M","-2.28%"
"10/22/2024","5.700","5.630","5.825","5.620","2.38M","1.06%"
"10/21/2024","5.640","5.770","5.865","5.565","2.62M","-2.59%"
"10/18/2024","5.790","5.800","5.870","5.710","2.00M","1.22%"
"10/17/2024","5.720","5.860","5.860","5.675","3.00M","-2.89%"
"10/16/2024","5.890","6.070","6.090","5.840","2.66M","-1.67%"
"10/15/2024","5.990","5.980","6.126","5.960","3.01M","0.84%"
"10/14/2024","5.940","5.900","5.990","5.840","2.05M","0.51%"
"10/11/2024","5.910","5.620","5.910","5.620","2.81M","5.16%"
"10/10/2024","5.620","5.500","5.650","5.485","3.42M","-0.35%"
